Municipal,ID,Time,Change in Storage (mm),Runoff (mm),Soil Moisture (mm),Precipitation (mm),Evapotranspiration (mm)
Calanasan,1408100000,01/15/2016,-17,145,656,230,102
Calanasan,1408100000,02/15/2016,44,239,676,373,90
Calanasan,1408100000,03/15/2016,-35,197,670,285,123
Calanasan,1408100000,04/15/2016,38,154,664,348,156
Calanasan,1408100000,05/15/2016,-2,697,727,861,166
Calanasan,1408100000,06/15/2016,-66,271,683,369,164
Calanasan,1408100000,07/15/2016,152,167,642,480,161
Calanasan,1408100000,08/15/2016,-81,284,684,324,121
Calanasan,1408100000,09/15/2016,-55,202,674,250,103
Calanasan,1408100000,10/15/2016,-20,510,693,586,96
Calanasan,1408100000,11/15/2016,74,129,641,275,72
Calanasan,1408100000,12/15/2016,25,539,709,629,65
Calanasan,1408100000,01/15/2017,5,225,668,312,82
Calanasan,1408100000,02/15/2017,-34,308,696,348,74
Calanasan,1408100000,03/15/2017,-60,122,640,182,120
Calanasan,1408100000,04/15/2017,51,228,670,425,146
Calanasan,1408100000,05/15/2017,26,644,732,812,142
Calanasan,1408100000,06/15/2017,-56,220,677,319,155
Calanasan,1408100000,07/15/2017,24,334,698,506,148
Calanasan,1408100000,08/15/2017,50,416,706,613,147
Calanasan,1408100000,09/15/2017,-111,228,675,231,114
Calanasan,1408100000,10/15/2017,73,357,670,518,88
Calanasan,1408100000,11/15/2017,-74,313,674,319,80
Calanasan,1408100000,12/15/2017,53,278,682,393,62
Calanasan,1408100000,01/15/2018,-13,249,676,325,89
Calanasan,1408100000,02/15/2018,-21,151,667,217,87
Calanasan,1408100000,03/15/2018,-51,132,642,202,121
Calanasan,1408100000,04/15/2018,119,166,657,434,149
Calanasan,1408100000,05/15/2018,-61,388,693,503,176
Calanasan,1408100000,06/15/2018,29,229,684,399,141
Calanasan,1408100000,07/15/2018,-27,423,696,551,155
Calanasan,1408100000,08/15/2018,40,365,702,528,123
Calanasan,1408100000,09/15/2018,-50,540,698,621,131
Calanasan,1408100000,10/15/2018,88,203,661,405,114
Calanasan,1408100000,11/15/2018,-148,126,627,64,86
Calanasan,1408100000,12/15/2018,223,93,589,387,71
Calanasan,1408100000,01/15/2019,-179,250,658,164,93
Calanasan,1408100000,02/15/2019,-114,24,569,13,103
Calanasan,1408100000,03/15/2019,-11,4,504,110,117
Calanasan,1408100000,04/15/2019,156,184,642,485,145
Calanasan,1408100000,05/15/2019,51,506,713,708,151
Calanasan,1408100000,06/15/2019,13,319,692,485,153
Calanasan,1408100000,07/15/2019,-30,366,695,491,155
Calanasan,1408100000,08/15/2019,19,188,668,332,125
Calanasan,1408100000,09/15/2019,-52,327,691,378,103
Calanasan,1408100000,10/15/2019,9,175,671,284,100
Calanasan,1408100000,11/15/2019,35,1106,741,1207,66
Calanasan,1408100000,12/15/2019,-1,1110,719,1175,66
Calanasan,1408100000,01/15/2020,-40,207,674,245,78
Calanasan,1408100000,02/15/2020,-27,191,673,248,84
Calanasan,1408100000,03/15/2020,-96,2,476,4,98
Calanasan,1408100000,04/15/2020,-31,0,403,51,82
Calanasan,1408100000,05/15/2020,61,2,403,173,110
Calanasan,1408100000,06/15/2020,-77,0,419,35,112
Calanasan,1408100000,07/15/2020,28,1,367,152,123
Calanasan,1408100000,08/15/2020,61,1,450,184,122
Calanasan,1408100000,09/15/2020,-11,0,453,78,89
Calanasan,1408100000,10/15/2020,238,56,547,368,74
Calanasan,1408100000,11/15/2020,-73,430,694,417,60
Calanasan,1408100000,12/15/2020,51,196,669,313,66
Calanasan,1408100000,01/15/2021,-27,105,638,120,42
Calanasan,1408100000,02/15/2021,-56,51,617,64,69
Calanasan,1408100000,03/15/2021,-58,15,561,55,98
Calanasan,1408100000,04/15/2021,-58,3,497,42,97
Calanasan,1408100000,05/15/2021,-95,0,429,23,118
Calanasan,1408100000,06/15/2021,15,0,394,132,117
Calanasan,1408100000,07/15/2021,38,1,383,155,116
Calanasan,1408100000,08/15/2021,82,2,499,207,123
Calanasan,1408100000,09/15/2021,47,22,570,179,110
Calanasan,1408100000,10/15/2021,43,206,655,335,86
Calanasan,1408100000,11/15/2021,81,53,612,207,73
Calanasan,1408100000,12/15/2021,-57,94,638,84,47
Calanasan,1408100000,01/15/2022,-7,57,613,126,76
Calanasan,1408100000,02/15/2022,-37,24,587,57,70
Calanasan,1408100000,03/15/2022,-90,8,530,23,105
Calanasan,1408100000,04/15/2022,-45,1,477,46,90
Calanasan,1408100000,05/15/2022,145,7,502,269,117
Calanasan,1408100000,06/15/2022,-44,13,563,95,126
Calanasan,1408100000,07/15/2022,-36,9,547,119,146
Calanasan,1408100000,08/15/2022,110,59,616,290,121
Calanasan,1408100000,09/15/2022,-31,95,627,169,105
Calanasan,1408100000,10/15/2022,127,410,682,622,85
Calanasan,1408100000,11/15/2022,-95,148,652,145,92
Calanasan,1408100000,12/15/2022,40,115,652,207,52
Calanasan,1408100000,01/15/2023,-100,97,632,66,69
Calanasan,1408100000,02/15/2023,-4,18,570,86,72
Calanasan,1408100000,03/15/2023,-101,11,539,10,100
Calanasan,1408100000,04/15/2023,-55,1,459,38,92
Calanasan,1408100000,05/15/2023,37,2,410,139,100
Calanasan,1408100000,06/15/2023,51,6,473,174,117
Calanasan,1408100000,07/15/2023,171,155,582,461,135
Calanasan,1408100000,08/15/2023,50,272,638,449,127
Calanasan,1408100000,09/15/2023,-134,203,665,179,110
Calanasan,1408100000,10/15/2023,5,106,640,208,97
Calanasan,1408100000,11/15/2023,30,87,632,177,60
Calanasan,1408100000,12/15/2023,-13,87,633,137,63
Calanasan,1408100000,01/15/2024,-85,34,586,14,65
Calanasan,1408100000,03/15/2024,-60,0,426,23,83
Calanasan,1408100000,04/15/2024,-77,0,356,14,91
Calanasan,1408100000,05/15/2024,60,1,327,158,97
Calanasan,1408100000,06/15/2024,-12,1,393,103,114
Calanasan,1408100000,07/15/2024,221,17,419,381,143
Calanasan,1408100000,08/15/2024,-42,14,565,125,153
Calanasan,1408100000,09/15/2024,238,263,667,627,126
Calanasan,1408100000,10/15/2024,-63,285,675,341,119
Calanasan,1408100000,11/15/2024,-73,427,701,444,90
Calanasan,1408100000,12/15/2024,12,121,651,200,67
Conner,"1408102000	",01/15/2016,-20,40,714,111,91
Conner,"1408102000	",02/15/2016,38,67,737,188,83
Conner,"1408102000	",03/15/2016,-77,48,722,87,116
Conner,"1408102000	",04/15/2016,-76,6,641,62,132
Conner,"1408102000	",05/15/2016,168,39,657,356,149
Conner,"1408102000	",06/15/2016,-64,186,773,286,164
Conner,"1408102000	",07/15/2016,140,193,746,495,162
Conner,"1408102000	",08/15/2016,-42,283,796,369,128
Conner,"1408102000	",09/15/2016,-62,150,773,206,118
Conner,"1408102000	",10/15/2016,-7,423,783,518,102
Conner,"1408102000	",11/15/2016,-7,52,730,118,73
Conner,"1408102000	",12/15/2016,86,210,765,356,60
Conner,"1408102000	",01/15/2017,-3,161,765,232,74
Conner,"1408102000	",02/15/2017,-99,186,764,159,72
Conner,"1408102000	",03/15/2017,-77,16,679,51,112
Conner,"1408102000	",04/15/2017,-12,8,648,126,130
Conner,"1408102000	",05/15/2017,122,16,659,272,134
Conner,"1408102000	",06/15/2017,5,99,758,272,168
Conner,"1408102000	",07/15/2017,-17,62,740,188,143
Conner,"1408102000	",08/15/2017,30,111,762,281,140
Conner,"1408102000	",09/15/2017,-36,98,758,189,127
Conner,"1408102000	",10/15/2017,42,159,756,294,93
Conner,"1408102000	",11/15/2017,-44,143,762,178,79
Conner,"1408102000	",12/15/2017,52,356,781,467,59
Conner,"1408102000	",01/15/2018,-50,132,761,162,80
Conner,"1408102000	",02/15/2018,-11,47,738,120,84
Conner,"1408102000	",03/15/2018,-51,26,708,93,118
Conner,"1408102000	",04/15/2018,10,16,693,163,137
Conner,"1408102000	",05/15/2018,-55,16,673,117,156
Conner,"1408102000	",06/15/2018,51,8,654,202,143
